id,text,audio_url,video_url,success_score
1,"Nossa startup Wells, Fisher and Reed oferece solução inovadora em E-commerce utilizando grow mission-critical e-business",https://storage.example.com/audio/1.mp3,https://youtu.be/087f0d72,7.0
2,Nossa startup Perkins PLC oferece solução inovadora em Tech utilizando benchmark dot-com metrics,https://storage.example.com/audio/2.mp3,https://youtu.be/26829e67,5.7
3,"Nossa startup Ramirez, Mason and Sanchez oferece solução inovadora em E-commerce utilizando optimize granular convergence",https://storage.example.com/audio/3.mp3,https://youtu.be/fb23b51a,6.5
4,Nossa startup Cummings-Anderson oferece solução inovadora em Logistics utilizando implement cross-platform web-readiness,https://storage.example.com/audio/4.mp3,https://youtu.be/9add502d,4.2
5,Nossa startup Brewer Ltd oferece solução inovadora em Logistics utilizando scale integrated relationships,https://storage.example.com/audio/5.mp3,https://youtu.be/f812e894,3.6
6,"Nossa startup Camacho, Gonzalez and Barnett oferece solução inovadora em Finance utilizando facilitate cutting-edge applications",https://storage.example.com/audio/6.mp3,https://youtu.be/c927b21c,6.9
7,Nossa startup Zamora Ltd oferece solução inovadora em Health utilizando enable out-of-the-box supply-chains,https://storage.example.com/audio/7.mp3,https://youtu.be/1b925b16,6.6
8,Nossa startup Brown Group oferece solução inovadora em Logistics utilizando integrate open-source supply-chains,https://storage.example.com/audio/8.mp3,https://youtu.be/73f50ed8,7.1
9,"Nossa startup Davis, Rubio and Austin oferece solução inovadora em Health utilizando syndicate scalable mindshare",https://storage.example.com/audio/9.mp3,https://youtu.be/74006dc4,3.6
10,Nossa startup Adams-Brown oferece solução inovadora em Tech utilizando synthesize strategic networks,https://storage.example.com/audio/10.mp3,https://youtu.be/cc5c0040,6.9
11,Nossa startup Johnson Group oferece solução inovadora em Logistics utilizando utilize synergistic e-markets,https://storage.example.com/audio/11.mp3,https://youtu.be/766432de,5.7
12,"Nossa startup Davis, Rojas and Austin oferece solução inovadora em Health utilizando transition distributed users",https://storage.example.com/audio/12.mp3,https://youtu.be/ed68ea69,8.4
13,"Nossa startup Brewer, Summers and Stone oferece solução inovadora em Finance utilizando reinvent clicks-and-mortar interfaces",https://storage.example.com/audio/13.mp3,https://youtu.be/029c6b03,6.2
14,Nossa startup Gonzales LLC oferece solução inovadora em Logistics utilizando utilize dynamic e-commerce,https://storage.example.com/audio/14.mp3,https://youtu.be/13b1cad2,5.9
15,Nossa startup Davis-Mcknight oferece solução inovadora em E-commerce utilizando integrate virtual web services,https://storage.example.com/audio/15.mp3,https://youtu.be/0d86ae18,8.2
16,"Nossa startup Baker, Richardson and Washington oferece solução inovadora em E-commerce utilizando deliver rich deliverables",https://storage.example.com/audio/16.mp3,https://youtu.be/7b5f7091,9.0
17,Nossa startup Davis-Meadows oferece solução inovadora em Logistics utilizando matrix impactful users,https://storage.example.com/audio/17.mp3,https://youtu.be/28f1984d,6.3
18,"Nossa startup Martin, Brock and Christensen oferece solução inovadora em Health utilizando engineer web-enabled action-items",https://storage.example.com/audio/18.mp3,https://youtu.be/523037bf,5.8
19,Nossa startup Hughes Inc oferece solução inovadora em E-commerce utilizando cultivate dot-com e-services,https://storage.example.com/audio/19.mp3,https://youtu.be/f6861ef9,4.0
20,Nossa startup Brown-Perkins oferece solução inovadora em E-commerce utilizando exploit best-of-breed solutions,https://storage.example.com/audio/20.mp3,https://youtu.be/86cb8b68,5.5
